	SPU_peptide	diadema.best
OG0012346	SPU_010992	
OG0012347	SPU_004496	
OG0012348	SPU_028446	
OG0012349	SPU_002304	
OG0012350	SPU_026916	
OG0012351	SPU_014081	
OG0012352	SPU_024537	
OG0012353	SPU_018825	
OG0012354	SPU_027573	
OG0012355	SPU_006789	
OG0012356	SPU_000702	
OG0012357	SPU_005261	
OG0012358	SPU_021364	
OG0012359	SPU_007633	
OG0012360	SPU_023671	
OG0012361	SPU_002887	
OG0012362	SPU_002218	
OG0012363	SPU_003731	
OG0012364	SPU_013273	
OG0012365	SPU_020563	
OG0012366	SPU_011815	
OG0012367	SPU_016374	
OG0012368	SPU_023664	
OG0012369	SPU_017952	
OG0012370	SPU_026031	
OG0012371	SPU_010165	
OG0012372	SPU_001417	
OG0012373	SPU_011808	
OG0012374	SPU_008283	
OG0012375	SPU_014844	
OG0012376	SPU_015573	
OG0012377	SPU_017096	
OG0012378	SPU_010093	
OG0012379	SPU_010158	
OG0012380	SPU_002923	
OG0012381	SPU_003717	
OG0012382	SPU_020549	
OG0012383	SPU_006818	
OG0012384	SPU_017938	
OG0012385	SPU_014765	
OG0012386	SPU_009847	
OG0012387	SPU_006012	
OG0012388	SPU_022050	
OG0012389	SPU_000472	
OG0012390	SPU_024422	
OG0012391	SPU_001266	
OG0012392	SPU_030228	
OG0012393	SPU_008197	
OG0012394	SPU_017794	
OG0012395	SPU_022108	
OG0012396	SPU_024350	
OG0012397	SPU_025144	
OG0012398	SPU_027451	
OG0012399	SPU_005089	
OG0012400	SPU_009768	
OG0012401	SPU_002103	
OG0012402	SPU_016324	
OG0012403	SPU_024343	
OG0012404	SPU_018631	
OG0012405	SPU_010849	
OG0012406	SPU_007389	
OG0012407	SPU_005132	
OG0012408	SPU_000386	
OG0012409	SPU_025914	
OG0012410	SPU_009689	
OG0012411	SPU_010108	
OG0012412	SPU_005060	
OG0012413	SPU_024264	
OG0012414	SPU_011499	
OG0012415	SPU_002801	
OG0012416	SPU_020362	
OG0012417	SPU_020427	
OG0012418	SPU_007425	
OG0012419	SPU_008154	
OG0012420	SPU_025770	
OG0012421	SPU_028871	
OG0012422	SPU_013799	
OG0012423	SPU_022000	
OG0012424	SPU_010029	
OG0012425	SPU_004317	
OG0012426	SPU_005830	
OG0012427	SPU_015372	
OG0012428	SPU_015437	
OG0012429	SPU_022727	
OG0012430	SPU_017809	
OG0012431	SPU_030018	
OG0012432	SPU_001144	
OG0012433	SPU_011470	
OG0012434	SPU_005039	
OG0012435	SPU_013842	
OG0012436	SPU_006617	
OG0012437	SPU_009653	
OG0012438	SPU_009718	
OG0012439	SPU_000343	
OG0012440	SPU_000408	
OG0012441	SPU_012192	
OG0012442	SPU_004173	
OG0012443	SPU_003444	
OG0012444	SPU_004238	
OG0012445	SPU_013835	
OG0012446	SPU_014564	
OG0012447	SPU_016087	
OG0012448	SPU_016936	
OG0012449	SPU_004950	
OG0012450	SPU_021782	
OG0012451	SPU_014492	
OG0012452	SPU_021847	
OG0012453	SPU_016864	
OG0012454	SPU_024883	
OG0012455	SPU_030233	
OG0012456	SPU_010590	
OG0012457	SPU_027250	
OG0012458	SPU_002636	
OG0012459	SPU_011449	
OG0012460	SPU_008838	
OG0012461	SPU_019893	
OG0012462	SPU_013022	
OG0012463	SPU_001770	
OG0012464	SPU_003293	
OG0012465	SPU_027308	
OG0012466	SPU_006394	
OG0012467	SPU_007188	
OG0012468	SPU_015991	
OG0012469	SPU_008766	
OG0012470	SPU_016785	
OG0012471	SPU_008032	
OG0012472	SPU_009610	
OG0012473	SPU_016900	
OG0012474	SPU_026442	
OG0012475	SPU_001828	
OG0012476	SPU_008759	
OG0012477	SPU_020233	
OG0012478	SPU_014521	
OG0012479	SPU_015315	
OG0012480	SPU_030199	
OG0012481	SPU_027164	
OG0012482	SPU_004792	
OG0012483	SPU_014399	
OG0012484	SPU_007893	
OG0012485	SPU_020161	
OG0012486	SPU_030051	
OG0012487	SPU_008802	
OG0012488	SPU_027157	
OG0012489	SPU_026428	
OG0012490	SPU_018409	
OG0012491	SPU_023989	
OG0012492	SPU_007217	
OG0012493	SPU_020931	
OG0012494	SPU_006351	
OG0012495	SPU_023183	
OG0012496	SPU_023248	
OG0012497	SPU_000876	
OG0012498	SPU_019059	
OG0012499	SPU_026349	
OG0012500	SPU_027078	
OG0012501	SPU_003977	
OG0012502	SPU_015941	
OG0012503	SPU_024819	
OG0012504	SPU_017529	
OG0012505	SPU_019836	
OG0012506	SPU_030041	
OG0012507	SPU_024020	
OG0012508	SPU_003171	
OG0012509	SPU_019102	
OG0012510	SPU_021581	
OG0012511	SPU_006272	
OG0012512	SPU_007915	
OG0012513	SPU_000797	
OG0012514	SPU_025476	
OG0012515	SPU_027848	
OG0012516	SPU_026320	
OG0012517	SPU_027114	
OG0012518	SPU_004807	
OG0012519	SPU_025469	
OG0012520	SPU_028620	
OG0012521	SPU_005464	
OG0012522	SPU_022296	
OG0012523	SPU_012819	
OG0012524	SPU_020838	
OG0012525	SPU_030014	
OG0012526	SPU_024668	
OG0012527	SPU_027769	
OG0012528	SPU_027035	
OG0012529	SPU_026306	
OG0012530	SPU_019016	
OG0012531	SPU_013476	
OG0012532	SPU_006970	
OG0012533	SPU_018884	
OG0012534	SPU_015114	
OG0012535	SPU_023133	
OG0012536	SPU_000761	
OG0012537	SPU_001555	
OG0012538	SPU_011097	
OG0012539	SPU_027028	
OG0012540	SPU_014982	
OG0012541	SPU_001548	
OG0012542	SPU_012668	
OG0012543	SPU_006956	
OG0012544	SPU_014306	
OG0012545	SPU_010289	
OG0012546	SPU_003848	
OG0012547	SPU_006884	
OG0012548	SPU_030062	
OG0012549	SPU_013440	
OG0012550	SPU_013505	
OG0012551	SPU_022318	
OG0012552	SPU_007009	
OG0012553	SPU_008522	
OG0012554	SPU_012589	
OG0012555	SPU_006877	
OG0012556	SPU_001397	
OG0012557	SPU_030039	
OG0012558	SPU_030045	
OG0012559	SPU_002306	
OG0012560	SPU_011119	
OG0012561	SPU_012632	
OG0012562	SPU_013361	
OG0012563	SPU_005342	
OG0012564	SPU_007714	
OG0012565	SPU_008443	
OG0012566	SPU_016527	
OG0012567	SPU_019563	
OG0012568	SPU_030027	
OG0012569	SPU_010318	
OG0012570	SPU_005270	
OG0012571	SPU_013354	
OG0012572	SPU_023680	
OG0012573	SPU_016455	
OG0012574	SPU_010246	
OG0012575	SPU_030010	
OG0012576	SPU_003805	
OG0012577	SPU_020637	
OG0012578	SPU_014860	
OG0012579	SPU_023673	
OG0012580	SPU_008429	
OG0012581	SPU_023738	
OG0012582	SPU_009158	
OG0012583	SPU_025196	
OG0012584	SPU_022210	
OG0012585	SPU_002090	
OG0012586	SPU_011752	
OG0012587	SPU_030024	
OG0012588	SPU_006834	
OG0012589	SPU_026767	
OG0012590	SPU_025304	
OG0012591	SPU_002148	
OG0012592	SPU_005249	
OG0012593	SPU_007491	
OG0012594	SPU_002076	
OG0012595	SPU_022793	
OG0012596	SPU_015568	
OG0012597	SPU_008278	
OG0012598	SPU_025959	
OG0012599	SPU_019398	
OG0012600	SPU_023702	
OG0012601	SPU_017141	
OG0012602	SPU_013189	
OG0012603	SPU_005954	
OG0012604	SPU_010203	
OG0012605	SPU_023630	
OG0012606	SPU_022901	
OG0012607	SPU_003575	
OG0012608	SPU_019506	
OG0012609	SPU_027525	
OG0012610	SPU_005882	
OG0012611	SPU_017796	
OG0012612	SPU_002112	
OG0012613	SPU_021251	
OG0012614	SPU_013232	
OG0012615	SPU_024352	
OG0012616	SPU_017127	
OG0012617	SPU_025930	
OG0012618	SPU_011587	
OG0012619	SPU_030044	
OG0012620	SPU_013225	
OG0012621	SPU_001973	
OG0012622	SPU_003496	
OG0012623	SPU_027446	
OG0012624	SPU_008969	
OG0012625	SPU_016988	
OG0012626	SPU_004405	
OG0012627	SPU_015460	
OG0012628	SPU_030137	
OG0012629	SPU_025916	
OG0012630	SPU_027374	
OG0012631	SPU_021165	
OG0012632	SPU_013930	
OG0012633	SPU_016247	
OG0012634	SPU_017760	
OG0012635	SPU_026573	
OG0012636	SPU_018619	
OG0012637	SPU_025772	
OG0012638	SPU_028938	
OG0012639	SPU_000424	
OG0012640	SPU_003460	
OG0012641	SPU_005832	
OG0012642	SPU_007355	
OG0012643	SPU_017681	
OG0012644	SPU_028132	
OG0012645	SPU_005825	
OG0012646	SPU_016880	
OG0012647	SPU_018468	
OG0012648	SPU_028794	
OG0012649	SPU_025024	
OG0012650	SPU_012194	
OG0012651	SPU_020278	
OG0012652	SPU_014566	
OG0012653	SPU_013837	
OG0012654	SPU_024892	
OG0012655	SPU_008919	
OG0012656	SPU_018396	
OG0012657	SPU_003374	
OG0012658	SPU_001916	
OG0012659	SPU_030189	
OG0012660	SPU_016866	
OG0012661	SPU_028046	
OG0012662	SPU_012230	
OG0012663	SPU_016060	
OG0012664	SPU_014602	
OG0012665	SPU_004089	
OG0012666	SPU_016787	
OG0012667	SPU_016053	
OG0012668	SPU_000971	
OG0012669	SPU_006389	
OG0012670	SPU_026372	
OG0012671	SPU_026437	
OG0012672	SPU_019147	
OG0012673	SPU_007895	
OG0012674	SPU_003331	
OG0012675	SPU_012209	
OG0012676	SPU_014451	
OG0012677	SPU_006432	
OG0012678	SPU_022535	
OG0012679	SPU_023329	
OG0012680	SPU_016039	
OG0012681	SPU_008804	
OG0012682	SPU_001686	
OG0012683	SPU_000957	
OG0012684	SPU_030262	
OG0012685	SPU_030085	
OG0012686	SPU_012137	
OG0012687	SPU_020156	
OG0012688	SPU_013650	
OG0012689	SPU_022463	
OG0012690	SPU_019852	
OG0012691	SPU_012799	
OG0012692	SPU_000216	
OG0012693	SPU_020084	
OG0012694	SPU_023185	
OG0012695	SPU_016744	
OG0012696	SPU_017538	
OG0012697	SPU_019780	
OG0012698	SPU_010535	
OG0012699	SPU_011329	
OG0012700	SPU_021590	
OG0012701	SPU_006346	
OG0012702	SPU_027857	
OG0012703	SPU_025600	
OG0012704	SPU_010463	
OG0012705	SPU_027123	
OG0012706	SPU_007068	
OG0012707	SPU_006339	
OG0012708	SPU_007852	
OG0012709	SPU_023890	
OG0012710	SPU_008646	
OG0012711	SPU_002372	
OG0012712	SPU_026322	
OG0012713	SPU_010456	
OG0012714	SPU_020782	
OG0012715	SPU_019025	
OG0012716	SPU_022298	
OG0012717	SPU_016586	
OG0012718	SPU_012022	
OG0012719	SPU_015123	
OG0012720	SPU_016701	
OG0012721	SPU_007766	
OG0012722	SPU_030005	
OG0012723	SPU_003202	
OG0012724	SPU_000828	
OG0012725	SPU_026236	
OG0012726	SPU_025507	
OG0012727	SPU_004593	
OG0012728	SPU_027814	
OG0012729	SPU_014984	
OG0012730	SPU_023797	
OG0012731	SPU_021540	
OG0012732	SPU_013521	
OG0012733	SPU_014315	
OG0012734	SPU_000691	
OG0012735	SPU_028471	
OG0012736	SPU_023905	
OG0012737	SPU_000749	
OG0012738	SPU_019651	
OG0012739	SPU_012598	
OG0012740	SPU_015699	
OG0012741	SPU_022989	
OG0012742	SPU_012713	
OG0012743	SPU_005423	
OG0012744	SPU_006217	
OG0012745	SPU_015814	
OG0012746	SPU_026200	
OG0012747	SPU_004622	
OG0012748	SPU_030025	
OG0012749	SPU_013435	
OG0012750	SPU_001399	
OG0012751	SPU_002977	
OG0012752	SPU_021382	
OG0012753	SPU_024483	
OG0012754	SPU_015735	
OG0012755	SPU_026855	
OG0012756	SPU_027649	
OG0012757	SPU_004543	
OG0012758	SPU_004608	
OG0012759	SPU_012627	
OG0012760	SPU_005337	
OG0012761	SPU_014934	
OG0012762	SPU_018829	
OG0012763	SPU_011761	
OG0012764	SPU_028421	
OG0012765	SPU_014927	
OG0012766	SPU_009095	
OG0012767	SPU_006908	
OG0012768	SPU_016500	
OG0012769	SPU_009210	
OG0012770	SPU_001363	
OG0012771	SPU_022874	
OG0012772	SPU_009937	
OG0012773	SPU_019479	
OG0012774	SPU_006102	
OG0012775	SPU_009203	
OG0012776	SPU_025241	
OG0012777	SPU_000627	
OG0012778	SPU_010953	
OG0012779	SPU_011682	
OG0012780	SPU_003663	
OG0012781	SPU_027613	
OG0012782	SPU_006829	
OG0012783	SPU_007558	
OG0012784	SPU_016421	
OG0012785	SPU_001284	
OG0012786	SPU_019522	
OG0012787	SPU_023589	
OG0012788	SPU_010212	
OG0012789	SPU_030084	
OG0012790	SPU_000483	
OG0012791	SPU_016414	
OG0012792	SPU_002790	
OG0012793	SPU_017208	
OG0012794	SPU_025227	
OG0012795	SPU_019450	
OG0012796	SPU_003649	
OG0012797	SPU_028328	
OG0012798	SPU_014769	
OG0012799	SPU_030016	
OG0012800	SPU_010205	
OG0012801	SPU_006800	
OG0012802	SPU_027462	
OG0012803	SPU_021987	
OG0012804	SPU_005150	
OG0012805	SPU_011711	
OG0012806	SPU_021253	
OG0012807	SPU_030116	
OG0012808	SPU_015541	
OG0012809	SPU_023560	
OG0012810	SPU_014812	
OG0012811	SPU_016335	
OG0012812	SPU_011589	
OG0012813	SPU_008978	
OG0012814	SPU_002107	
OG0012815	SPU_010910	
OG0012816	SPU_013162	
OG0012817	SPU_020517	
OG0012818	SPU_006721	
OG0012819	SPU_030076	
OG0012820	SPU_025076	
OG0012821	SPU_018570	
OG0012822	SPU_020380	
OG0012823	SPU_005071	
OG0012824	SPU_022752	
OG0012825	SPU_030001	
OG0012826	SPU_022817	
OG0012827	SPU_017834	
OG0012828	SPU_026647	
OG0012829	SPU_005798	
OG0012830	SPU_030002	
OG0012831	SPU_002028	
OG0012832	SPU_011560	
OG0012833	SPU_014726	
OG0012834	SPU_016249	
OG0012835	SPU_017762	
OG0012836	SPU_028098	
OG0012837	SPU_028882	
OG0012838	SPU_004263	
OG0012839	SPU_003534	
OG0012840	SPU_007364	
OG0012841	SPU_014719	
OG0012842	SPU_022004	
OG0012843	SPU_011546	
OG0012844	SPU_006628	
OG0012845	SPU_019990	
OG0012846	SPU_001148	
OG0012847	SPU_027405	
OG0012848	SPU_007285	
OG0012849	SPU_019983	
OG0012850	SPU_021131	
OG0012851	SPU_023503	
OG0012852	SPU_024232	
OG0012853	SPU_001860	
OG0012854	SPU_019314	
OG0012855	SPU_010738	
OG0012856	SPU_021793	
OG0012857	SPU_006549	
OG0012858	SPU_014568	
OG0012859	SPU_017669	
OG0012860	SPU_005021	
OG0012861	SPU_021124	
OG0012862	SPU_023431	
OG0012863	SPU_024225	
OG0012864	SPU_027326	
OG0012865	SPU_030195	
OG0012866	SPU_007990	
OG0012867	SPU_030031	
OG0012868	SPU_021117	
OG0012869	SPU_015340	
OG0012870	SPU_007321	
OG0012871	SPU_018441	
OG0012872	SPU_025731	
OG0012873	SPU_018506	
OG0012874	SPU_027254	
OG0012875	SPU_008777	
OG0012876	SPU_016062	
OG0012877	SPU_015333	
OG0012878	SPU_027247	
OG0012879	SPU_004141	
OG0012880	SPU_030021	
OG0012881	SPU_023280	
OG0012882	SPU_007242	
OG0012883	SPU_023345	
OG0012884	SPU_022616	
OG0012885	SPU_000973	
OG0012886	SPU_019091	
OG0012887	SPU_001767	
OG0012888	SPU_028753	
OG0012889	SPU_015988	
OG0012890	SPU_014525	
OG0012891	SPU_016048	
OG0012892	SPU_026439	
OG0012893	SPU_028746	
OG0012894	SPU_007897	
OG0012895	SPU_004062	
OG0012896	SPU_003333	
OG0012897	SPU_012081	
OG0012898	SPU_023266	
OG0012899	SPU_022537	
OG0012900	SPU_007228	
OG0012901	SPU_030007	
OG0012902	SPU_008806	
OG0012903	SPU_000959	
OG0012904	SPU_027096	
OG0012905	SPU_030196	
OG0012906	SPU_011280	
OG0012907	SPU_006362	
OG0012908	SPU_024837	
OG0012909	SPU_008000	
OG0012910	SPU_000218	
OG0012911	SPU_012067	
OG0012912	SPU_004832	
OG0012913	SPU_016746	
OG0012914	SPU_019782	
OG0012915	SPU_003247	
OG0012916	SPU_012844	
OG0012917	SPU_021657	
OG0012918	SPU_015096	
OG0012919	SPU_007861	
OG0012920	SPU_015945	
OG0012921	SPU_018197	
OG0012922	SPU_027859	
OG0012923	SPU_015211	
OG0012924	SPU_027060	
OG0012925	SPU_003175	
OG0012926	SPU_000851	
OG0012927	SPU_027053	
OG0012928	SPU_011187	
OG0012929	SPU_004746	
OG0012930	SPU_007782	
OG0012931	SPU_007113	
OG0012932	SPU_002367	
OG0012933	SPU_019811	
OG0012934	SPU_004739	
OG0012935	SPU_006197	
OG0012936	SPU_011230	
OG0012937	SPU_010501	
OG0012938	SPU_015060	
OG0012939	SPU_007041	
OG0012940	SPU_009413	
OG0012941	SPU_016703	
OG0012942	SPU_030056	
OG0012943	SPU_014993	
OG0012944	SPU_020036	
OG0012945	SPU_023137	
OG0012946	SPU_008612	
OG0012947	SPU_007811	
OG0012948	SPU_024643	
OG0012949	SPU_024708	
OG0012950	SPU_003859	
OG0012951	SPU_028538	
OG0012952	SPU_027010	
OG0012953	SPU_012722	
OG0012954	SPU_014245	
OG0012955	SPU_015823	
OG0012956	SPU_023842	
OG0012957	SPU_009989	
OG0012958	SPU_000017	
OG0012959	SPU_011072	
OG0012960	SPU_003902	
OG0012961	SPU_013509	
OG0012962	SPU_008526	
OG0012963	SPU_006082	
OG0012964	SPU_007660	
OG0012965	SPU_024492	
OG0012966	SPU_015809	
OG0012967	SPU_028387	
OG0012968	SPU_022300	
OG0012969	SPU_025401	
OG0012970	SPU_003039	
OG0012971	SPU_020590	
OG0012972	SPU_013365	
OG0012973	SPU_014094	
OG0012974	SPU_007718	
OG0012975	SPU_015737	
OG0012976	SPU_026792	
OG0012977	SPU_030058	
OG0012978	SPU_002238	
OG0012979	SPU_030034	
OG0012980	SPU_005274	
OG0012981	SPU_020648	
OG0012982	SPU_022955	
OG0012983	SPU_018766	
OG0012984	SPU_011101	
OG0012985	SPU_002950	
OG0012986	SPU_003744	
OG0012987	SPU_011828	
OG0012988	SPU_014864	
OG0012989	SPU_017965	
OG0012990	SPU_006111	
OG0012991	SPU_022214	
OG0012992	SPU_020569	
OG0012993	SPU_013279	
OG0012994	SPU_008296	
OG0012995	SPU_011684	
OG0012996	SPU_007495	
OG0012997	SPU_022070	
OG0012998	SPU_000492	
OG0012999	SPU_023706	
OG0013000	SPU_009910	
OG0013001	SPU_003586	
OG0013002	SPU_009788	
OG0013003	SPU_021262	
OG0013004	SPU_023634	
OG0013005	SPU_001991	
OG0013006	SPU_016409	
OG0013007	SPU_005886	
OG0013008	SPU_002051	
OG0013009	SPU_021255	
OG0013010	SPU_008253	
OG0013011	SPU_001984	
OG0013012	SPU_025934	
OG0013013	SPU_001315	
OG0013014	SPU_007452	
OG0013015	SPU_030078	
OG0013016	SPU_002037	
OG0013017	SPU_009817	
OG0013018	SPU_014001	
OG0013019	SPU_025121	
OG0013020	SPU_004272	
OG0013021	SPU_011562	
OG0013022	SPU_028222	
OG0013023	SPU_003608	
OG0013024	SPU_021169	
OG0013025	SPU_005915	
OG0013026	SPU_008951	
OG0013027	SPU_024320	
OG0013028	SPU_001229	
OG0013029	SPU_002742	
OG0013030	SPU_019402	
OG0013031	SPU_006572	
OG0013032	SPU_013927	
OG0013033	SPU_005908	
OG0013034	SPU_023469	
OG0013035	SPU_009673	
OG0013036	SPU_030004	
OG0013037	SPU_009004	
OG0013038	SPU_024313	
OG0013039	SPU_004193	
OG0013040	SPU_012277	
OG0013041	SPU_006565	
OG0013042	SPU_007294	
OG0013043	SPU_015378	
OG0013044	SPU_023397	
OG0013045	SPU_008937	
OG0013046	SPU_018479	
OG0013047	SPU_021205	
OG0013048	SPU_023512	
OG0013049	SPU_016222	
OG0013050	SPU_027342	
OG0013051	SPU_027407	
OG0013052	SPU_021867	
OG0013053	SPU_009659	
OG0013054	SPU_021133	
OG0013055	SPU_015421	
OG0013056	SPU_000349	
OG0013057	SPU_001862	
OG0013058	SPU_019251	
OG0013059	SPU_027335	
OG0013060	SPU_012198	
OG0013061	SPU_008858	
OG0013062	SPU_021126	
OG0013063	SPU_013107	
OG0013064	SPU_024227	
OG0013065	SPU_018515	
OG0013066	SPU_030202	
OG0013067	SPU_028841	
OG0013068	SPU_012975	
OG0013069	SPU_014498	
OG0013070	SPU_025733	
OG0013071	SPU_018508	
OG0013072	SPU_007985	
OG0013073	SPU_019899	
OG0013074	SPU_004150	
OG0013075	SPU_013812	
OG0013076	SPU_014606	
OG0013077	SPU_026390	
OG0013078	SPU_004877	
OG0013079	SPU_001107	
OG0013080	SPU_004143	
OG0013081	SPU_007244	
OG0013082	SPU_016841	
OG0013083	SPU_001769	
OG0013084	SPU_018429	
OG0013085	SPU_028690	
OG0013086	SPU_007237	
OG0013087	SPU_006508	
OG0013088	SPU_017563	
OG0013089	SPU_008815	
OG0013090	SPU_001697	
